"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\Administrator\Documents\horizoncraft\script\BlockMeta.cs", "C#", 53, 35, 34, 122
"c:\Users\Administrator\Documents\horizoncraft\script\Components\Component.cs", "C#", 22, 1, 1, 24
"c:\Users\Administrator\Documents\horizoncraft\script\Components\ComponentAndSystem.cs", "C#", 9, 2, 0, 11
"c:\Users\Administrator\Documents\horizoncraft\script\Components\ComponentManager.cs", "C#", 102, 5, 12, 119
"c:\Users\Administrator\Documents\horizoncraft\script\Components\ComponentSystem.cs", "C#", 14, 1, 2, 17
"c:\Users\Administrator\Documents\horizoncraft\script\Components\EntityComponents\EntityComponent.cs", "C#", 22, 0, 4, 26
"c:\Users\Administrator\Documents\horizoncraft\script\Components\EntityComponents\ItemEntityComponent.cs", "C#", 8, 0, 2, 10
"c:\Users\Administrator\Documents\horizoncraft\script\Components\ExpandComponent.cs", "C#", 13, 0, 1, 14
"c:\Users\Administrator\Documents\horizoncraft\script\Components\FluidComponent.cs", "C#", 13, 0, 1, 14
"c:\Users\Administrator\Documents\horizoncraft\script\Components\FurnaceComponent.cs", "C#", 13, 0, 2, 15
"c:\Users\Administrator\Documents\horizoncraft\script\Components\IGetMask.cs", "C#", 6, 0, 1, 7
"c:\Users\Administrator\Documents\horizoncraft\script\Components\InventoryComponent.cs", "C#", 104, 2, 17, 123
"c:\Users\Administrator\Documents\horizoncraft\script\Components\ItemComponent.cs", "C#", 13, 0, 2, 15
"c:\Users\Administrator\Documents\horizoncraft\script\Components\Item\ItemDurableComponent.cs", "C#", 42, 2, 11, 55
"c:\Users\Administrator\Documents\horizoncraft\script\Components\LambdaCreater.cs", "C#", 56, 0, 9, 65
"c:\Users\Administrator\Documents\horizoncraft\script\Components\PhysicsComponent.cs", "C#", 12, 0, 2, 14
"c:\Users\Administrator\Documents\horizoncraft\script\Components\SubBlockComponent.cs", "C#", 13, 0, 3, 16
"c:\Users\Administrator\Documents\horizoncraft\script\Components\Systems\BlockCoverSystem.cs", "C#", 10, 0, 2, 12
"c:\Users\Administrator\Documents\horizoncraft\script\Components\Systems\BlockSpreadSystem.cs", "C#", 21, 0, 4, 25
"c:\Users\Administrator\Documents\horizoncraft\script\Components\Systems\BottomCheckSystem.cs", "C#", 9, 0, 2, 11
"c:\Users\Administrator\Documents\horizoncraft\script\Components\Systems\FluidSystem.cs", "C#", 73, 2, 8, 83
"c:\Users\Administrator\Documents\horizoncraft\script\Components\Systems\FurnaceSystem.cs", "C#", 78, 0, 7, 85
"c:\Users\Administrator\Documents\horizoncraft\script\Components\Systems\InventorySystem.cs", "C#", 23, 0, 3, 26
"c:\Users\Administrator\Documents\horizoncraft\script\Components\Systems\ItemComponentSystem.cs", "C#", 33, 0, 8, 41
"c:\Users\Administrator\Documents\horizoncraft\script\Components\Systems\ItemDurableSystem.cs", "C#", 27, 5, 4, 36
"c:\Users\Administrator\Documents\horizoncraft\script\Components\Systems\LogisticsInputSystem.cs", "C#", 117, 0, 11, 128
"c:\Users\Administrator\Documents\horizoncraft\script\Components\Systems\PhysicsSystem.cs", "C#", 32, 0, 2, 34
"c:\Users\Administrator\Documents\horizoncraft\script\Components\Systems\WorkBenchSystem.cs", "C#", 73, 0, 6, 79
"c:\Users\Administrator\Documents\horizoncraft\script\Components\TickComponent.cs", "C#", 10, 0, 1, 11
"c:\Users\Administrator\Documents\horizoncraft\script\Components\TickSystem.cs", "C#", 37, 0, 5, 42
"c:\Users\Administrator\Documents\horizoncraft\script\ConfigSet.cs", "C#", 16, 0, 4, 20
"c:\Users\Administrator\Documents\horizoncraft\script\Entity\EntityMeta.cs", "C#", 38, 0, 5, 43
"c:\Users\Administrator\Documents\horizoncraft\script\Entity\EntityNode.cs", "C#", 11, 21, 1, 33
"c:\Users\Administrator\Documents\horizoncraft\script\Entity\Entitydata.cs", "C#", 28, 0, 3, 31
"c:\Users\Administrator\Documents\horizoncraft\script\Entity\IEntityNode.cs", "C#", 15, 3, 2, 20
"c:\Users\Administrator\Documents\horizoncraft\script\Events\BlockTickEvent.cs", "C#", 83, 16, 20, 119
"c:\Users\Administrator\Documents\horizoncraft\script\Events\BreakBlockEvent.cs", "C#", 17, 2, 2, 21
"c:\Users\Administrator\Documents\horizoncraft\script\Events\PlaceBlockEvent.cs", "C#", 13, 0, 1, 14
"c:\Users\Administrator\Documents\horizoncraft\script\Events\WorldEvent.cs", "C#", 18, 0, 1, 19
"c:\Users\Administrator\Documents\horizoncraft\script\Features\EntityManage.cs", "C#", 160, 3, 20, 183
"c:\Users\Administrator\Documents\horizoncraft\script\Horizoncraft.cs", "C#", 14, 0, 2, 16
"c:\Users\Administrator\Documents\horizoncraft\script\Inventory\BlockInventory.cs", "C#", 9, 0, 2, 11
"c:\Users\Administrator\Documents\horizoncraft\script\Inventory\InventoryBase.cs", "C#", 201, 21, 32, 254
"c:\Users\Administrator\Documents\horizoncraft\script\Inventory\InventoryManage.cs", "C#", 31, 0, 6, 37
"c:\Users\Administrator\Documents\horizoncraft\script\Inventory\InventoryPatternMatching.cs", "C#", 27, 1, 6, 34
"c:\Users\Administrator\Documents\horizoncraft\script\Inventory\InventorySet.cs", "C#", 4, 0, 1, 5
"c:\Users\Administrator\Documents\horizoncraft\script\Inventory\ItemMeta.cs", "C#", 42, 1, 6, 49
"c:\Users\Administrator\Documents\horizoncraft\script\Inventory\ItemStack.cs", "C#", 38, 1, 6, 45
"c:\Users\Administrator\Documents\horizoncraft\script\Inventory\ItemStateSet.cs", "C#", 8, 0, 2, 10
"c:\Users\Administrator\Documents\horizoncraft\script\Inventory\LootItem.cs", "C#", 19, 9, 7, 35
