"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\Administrator\Documents\horizoncraft\script\BlockMeta.cs", "C#", 2, 0, 1, 3
"c:\Users\Administrator\Documents\horizoncraft\script\Components\Component.cs", "C#", 2, 0, 0, 2
"c:\Users\Administrator\Documents\horizoncraft\script\Components\ComponentManager.cs", "C#", 4, 0, 0, 4
"c:\Users\Administrator\Documents\horizoncraft\script\Components\EnergyBlocks\EnergyComponent.cs", "C#", 20, 0, 3, 23
"c:\Users\Administrator\Documents\horizoncraft\script\Components\FurnaceComponent.cs", "C#", 18, 0, 1, 19
"c:\Users\Administrator\Documents\horizoncraft\script\Components\Interfaces\IGetProgress.cs", "C#", 11, 0, 2, 13
"c:\Users\Administrator\Documents\horizoncraft\script\Components\LambdaCreater.cs", "C#", 2, 0, 0, 2
"c:\Users\Administrator\Documents\horizoncraft\script\Components\Systems\BlockSystems\EnergyBlocks\EnergyCableSystem.cs", "C#", 37, 0, 3, 40
"c:\Users\Administrator\Documents\horizoncraft\script\Components\Systems\BlockSystems\EnergyBlocks\SolarGeneratorSystem.cs", "C#", 46, 0, 4, 50
"c:\Users\Administrator\Documents\horizoncraft\script\Components\Systems\ItemDurableSystem.cs", "C#", 0, 2, 0, 2
"c:\Users\Administrator\Documents\horizoncraft\script\Components\Systems\ItemEntitySystem.cs", "C#", 0, 1, 0, 1
"c:\Users\Administrator\Documents\horizoncraft\script\Events\PlayerEvents.cs", "C#", 24, 1, 0, 25
"c:\Users\Administrator\Documents\horizoncraft\script\Events\player\PlayerEvent.cs", "C#", 1, 1, 0, 2
"c:\Users\Administrator\Documents\horizoncraft\script\Inventory\LootTable.cs", "C#", 3, 0, 1, 4
"c:\Users\Administrator\Documents\horizoncraft\script\Materials.cs", "C#", 14, 0, 1, 15
"c:\Users\Administrator\Documents\horizoncraft\script\Services\chunk\ChunkServiceBase.cs", "C#", 38, 1, 3, 42
"c:\Users\Administrator\Documents\horizoncraft\script\Services\world\WorldServiceBase.cs", "C#", 14, 0, 3, 17
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Biome.cs", "C#", 42, 0, 3, 45
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Context\BiomeStructContext.cs", "C#", 1, 0, 0, 1
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\LandBiome.cs", "C#", 1, 0, 0, 1
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Struct\OreConfig.cs", "C#", 9, 0, 2, 11
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Struct\OreManage.cs", "C#", 44, 7, 6, 57
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Struct\StructManage.cs", "C#", 1, 0, 0, 1
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Struct\structs\OreStruct.cs", "C#", 38, 0, 5, 43
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\WorldGenerator.cs", "C#", 6, 2, 1, 9
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\worldbiomes\ForestBiome.cs", "C#", 0, 0, -1, -1
"Total", "-", 378, 15, 38, 431
